id,text,labels,comment,sentiment
33,lakini napendekeza subiri juhudi zao za baadaye acha hii iende,0,lakini napendekeza subiri juhudi zao za badaye acha hi iende,0
34,nilikatishwa tamaa katika sinema,0,nilikatishwa tama katika sinema,0
35,hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,0,hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,0
36,sinema hii inaoga kabisa kwenye mishipa yangu,0,sinema hi inaoga kabisa kwenye mishipa yangu,0
37,na kwa uaminifu kabisa mara nyingi sio nzuri sana,0,na kwa uaminifu kabisa mara nyingi sio nzuri sana,0
38,mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,0,mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari moja hadi mwingine au inafa mazingira,0
39,nisingesema wanafaa masaa  ya wakati wako ingawa,0,nisingesema wanafa masa ya wakati wako ingawa,0
40,shida ilikuwa maandishi,0,shida ilikuwa mandishi,0
41,ilikuwa ya kutisha,0,ilikuwa ya kutisha,0
42,tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,0,tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,0
43,hakuna kitu cha kuaminika juu yake kabisa,0,hakuna kitu cha kuaminika ju yake kabisa,0
44,kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,0,kwa kweli bada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hi kwa sababu ni mbaya,0
45,kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,0,kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,0
46,inasikitisha sana,0,inasikitisha sana,0
47,kuelekeza na sinema sio nzuri kabisa,0,kuelekeza na sinema sio nzuri kabisa,0
48,saa na nusu napenda ningeweza kurudisha,0,sa na nusu napenda ningeweza kurudisha,0
49,uongozaji unaonekana kuwa wa kawaida sana,0,uongozaji unaonekana kuwa wa kawaida sana,0
50,na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,0,na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,0
51,walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,0,walakini hi haikufanya kwa ukweli wa jumla hi ilikuwa sinema ya kuchosha sana,0
52,kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,0,kulikuwa na dakika kadha kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,0
53,siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,0,siwezi kuamini kuwa waigizaji walikubali kufanya filamu hi,0
54,hii ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,0,hi ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,0
55,sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,0,sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,0
56,sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,0,sinema hi ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,0
57,ni kupoteza saa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha,0,ni kupoteza sa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia ju ya maisha,0
58,niliona mirrormask jana usiku na ilikuwa uzoefu usioridhisha,0,niliona mirormask jana usiku na ilikuwa uzoefu usioridhisha,0
59,kaimu ni mbaya na uandishi ni mbaya zaidi,0,kaimu ni mbaya na uandishi ni mbaya zaidi,0
60,nililipa sana,0,nililipa sana,0
61,tena hakuna mpango hata,0,tena hakuna mpango hata,0
62,hakuna mpango wowote,0,hakuna mpango wowote,0
63,mbaya,0,mbaya,0
64,hakuna kiwango au habari,0,hakuna kiwango au habari,0
65,nachukia sinema kama hizo,0,nachukia sinema kama hizo,0
66,namaanisha hii kwa njia mbaya,0,namanisha hi kwa njia mbaya,0
67,hii ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,0,hi ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul hagis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,0
68,ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa  ili kuona ujuaji huu,0,ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa ili kuona ujuaji hu,0
69,kila kitu ni cha kutisha,0,kila kitu ni cha kutisha,0
70,filamu hii haina huduma za kukomboa,0,filamu hi haina huduma za kukomboa,0
71,hadithi ni zaidi ya kijinga,0,hadithi ni zaidi ya kijinga,0
72,watoto wanachukiza,0,watoto wanachukiza,0
73,nitasema tena hii ni mateso,0,nitasema tena hi ni mateso,0
74,huo kabisa bila sifa yoyote hii ni sawa na kuteswa,0,huo kabisa bila sifa yoyote hi ni sawa na kuteswa,0
75,mtu anayeongoza hana dhamana,0,mtu anayeongoza hana dhamana,0
76,labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu,0,labda kungekuwa na maelezo ya kuridhika kwa udhalimu hu,0
77,sio safari ya kupendeza ya kujitambua,0,sio safari ya kupendeza ya kujitambua,0
78,ndio ni mbaya sana,0,ndio ni mbaya sana,0
79,hakuna chochote cha kupendekeza,0,hakuna chochote cha kupendekeza,0
80,sinema hii iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,0,sinema hi iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,0
81,sinema hii ni mbaya,0,sinema hi ni mbaya,0
82,mbaya sana,0,mbaya sana,0
83,kwa kweli hii ni moja wapo ya zile mbaya,0,kwa kweli hi ni moja wapo ya zile mbaya,0
84,uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,0,uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine waku kwenye skrini na yeye,0
85,sioni kweli jinsi mtu yeyote angefurahiya sinema hii,0,sioni kweli jinsi mtu yeyote angefurahiya sinema hi,0
86,labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,0,labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sana ambayo sio ya kushangaza sana,0
87,usipoteze wakati wako,0,usipoteze wakati wako,0
88,walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,0,walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,0
89,mishima haifurahishi sana,0,mishima haifurahishi sana,0
90,kwa hivyo hadithi nzima haina nguvu fulani,0,kwa hivyo hadithi nzima haina nguvu fulani,0
91,kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,0,kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,0
92,maendeleo ya mhusika pia hayapatikani kwa kina,0,maendeleo ya mhusika pia hayapatikani kwa kina,0
93,ninamaanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya ballet jambo lote lilikuwa ni ujinga kabisa,0,ninamanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya balet jambo lote lilikuwa ni ujinga kabisa,0
94,mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,0,mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,0
95,kwa kusikitisha filamu hiyo inashindwa,0,kwa kusikitisha filamu hiyo inashindwa,0
96,sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo,0,sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na madhimisho ya uzalendo ambao unasisitiza hadithi hiyo,0
97,hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba juni allison kwenye sinema hii,0,hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba juni alison kwenye sinema hi,0
98,kwa bahati mbaya hii ni sinema mbaya ambayo ni mbaya kabisa,0,kwa bahati mbaya hi ni sinema mbaya ambayo ni mbaya kabisa,0
99,lakini sinema hii sio ya kuchekesha ukizingatia ujinga wake,0,lakini sinema hi sio ya kuchekesha ukizingatia ujinga wake,0
100,nilitoka ndani nikisikia hasira,0,nilitoka ndani nikisikia hasira,0
101,sina uhakika alikuwa anajaribu kufanya nini na filamu hii,0,sina uhakika alikuwa anajaribu kufanya nini na filamu hi,0
102,ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,0,ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,0
103,ililazimishwa kama kila kitu kwenye sinema hii,0,ililazimishwa kama kila kitu kwenye sinema hi,0
104,nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa,0,nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa,0
105,ukadiriaji  kati ya ,0,ukadiriaji kati ya,0
106,kwa kweli nilitapika nikitazama filamu hii,0,kwa kweli nilitapika nikitazama filamu hi,0
107,natafsiri sinema kwa ajili ya kuishi na hii ni sinema ya kwanza katika uzoefu wangu wa miaka  wa kufanya kazi ambao nimepata kukosoa akili yangu,0,natafsiri sinema kwa ajili ya kuishi na hi ni sinema ya kwanza katika uzoefu wangu wa miaka wa kufanya kazi ambao nimepata kukosoa akili yangu,0
108,kwa wale wanaopata sinema hii kuwa ya akili au hata ya ustadi naweza kusema tu ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo,0,kwa wale wanaopata sinema hi kuwa ya akili au hata ya ustadi naweza kusema tu ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo,0
109,lakini wakati mtu anajitahidi kwa ukuu na ushairi lakini akiwasilisha hadithi ya matope na mara nyingi ni ujinga kundi la visa tofauti mazungumzo ya udanganyifu halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama dharau ujanja,0,lakini wakati mtu anajitahidi kwa uku na ushairi lakini akiwasilisha hadithi ya matope na mara nyingi ni ujinga kundi la visa tofauti mazungumzo ya udanganyifu halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama dharau ujanja,0
110,jambo moja zaidi naweza kuvumilia usahihi wa kisiasa vizuri mimi ni wote kwa uhuru wa kisanii na kusimamishwa kwa kutokuamini lakini tabia ya kike ya slavic ilikuwa tu sana,0,jambo moja zaidi naweza kuvumilia usahihi wa kisiasa vizuri mimi ni wote kwa uhuru wa kisani na kusimamishwa kwa kutokuamini lakini tabia ya kike ya slavic ilikuwa tu sana,0
111,mipangilio ya malta ni kavu na tasa kama mazungumzo,0,mipangilio ya malta ni kavu na tasa kama mazungumzo,0
112,sinema hii ni mbaya,0,sinema hi ni mbaya,0
113,kwa wale ambao hawajaiona usipoteze wakati wako,0,kwa wale ambao hawajaiona usipoteze wakati wako,0
114,kuiita sinema hii mchezo wa kuigiza ni ujinga,0,kuita sinema hi mchezo wa kuigiza ni ujinga,0
115,nilianza kutizama hii lakini sikuamini mhusika yeyote,0,nilianza kutizama hi lakini sikuamini mhusika yeyote,0
116,hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,0,hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,0
117,nimefurahi sikulipa kuiona,0,nimefurahi sikulipa kuiona,0
118,sikucheka au hata kutabasamu mara moja,0,sikucheka au hata kutabasamu mara moja,0
119,kila kitu kuhusu sinema hii ni kijinga,0,kila kitu kuhusu sinema hi ni kijinga,0
120,hata kama unapenda sinema mbaya usitazame sinema hii,0,hata kama unapenda sinema mbaya usitazame sinema hi,0
121,ni aibu,0,ni aibu,0
122,wahusika mpya hawakuwa wa kukumbukwa kabisa na nilijikuta nikisahau ni nani,0,wahusika mpya hawakuwa wa kukumbukwa kabisa na nilijikuta nikisahau ni nani,0
123,nilihisi kana kwamba kwenda kwake ireland hakukufanya chochote,0,nilihisi kana kwamba kwenda kwake ireland hakukufanya chochote,0
124,haikuniogopeshawala kunishtua au kunifanya niwe na huruma kwa wahusika ilikuwa ya kukasirisha tu,0,haikuniogopeshawala kunishtua au kunifanya niwe na huruma kwa wahusika ilikuwa ya kukasirisha tu,0
125,kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu lakini haikufanya kazi kabisa katika mpango wote uliobaki,0,kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu lakini haikufanya kazi kabisa katika mpango wote uliobaki,0
126,ikiwa utaiona labda unapaswa kuiacha kwenye rafu,0,ikiwa utaiona labda unapaswa kuiacha kwenye rafu,0
127,lucy bell ni juu sana kuliko ujinga huu na kwa yeye kuzama kwa hali ya chini hii ni ya kufadhaisha,0,lucy bel ni ju sana kuliko ujinga hu na kwa yeye kuzama kwa hali ya chini hi ni ya kufadhaisha,0
128,karibu nyimbo zote kwenye cover girl ni za zamani na sio za kufurahisha,0,karibu nyimbo zote kwenye cover girl ni za zamani na sio za kufurahisha,0
129,jambo la kuchukiza juu ya msichana wa jalada ni njia ambayo rita hayworth amewekwa juu ya msingi,0,jambo la kuchukiza ju ya msichana wa jalada ni njia ambayo rita hayworth amewekwa ju ya msingi,0
130,kwa bahati mbaya cover girl ni kielelezo cha jinsi hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,0,kwa bahati mbaya cover girl ni kielelezo cha jinsi holywod ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,0
131,mbaya zaidi kuliko ticker,0,mbaya zaidi kuliko ticker,0
132,sinema hiyo ilikuwa mbaya,0,sinema hiyo ilikuwa mbaya,0
133,sikuweza kuzichukua kwa uzito,0,sikuweza kuzichukua kwa uzito,0
134,nilipenda majengo  ama  tu yaliyotumiwa labda maeneo kadhaa duni hummh,0,nilipenda majengo ama tu yaliyotumiwa labda maeneo kadha duni humh,0
135,natamani ningeweza kuingiza maadili hasi admins,0,natamani ningeweza kuingiza madili hasi admins,0
136,seti ni mbaya sana haingeonekana kuwa nje ya mahali kwenye sehemu ya thunderbirds,0,seti ni mbaya sana haingeonekana kuwa nje ya mahali kwenye sehemu ya thunderbirds,0
137,matumizi ya mwendopolepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya na mbaya ni neno fadhili hapa hakuna mwendelezo picha ambazo zimetupwa bila sababu yoyote magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la corn flakes na mtindo wa kuelekeza uliopakana na ujinga,0,matumizi ya mwendopolepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya na mbaya ni neno fadhili hapa hakuna mwendelezo picha ambazo zimetupwa bila sababu yoyote magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la corn flakes na mtindo wa kuelekeza uliopakana na ujinga,0
138,ah ndio na hadithi ilikuwa ya kusikitisha pia,0,ah ndio na hadithi ilikuwa ya kusikitisha pia,0
139,ninachukia kuandika hakiki mbaya juu ya filamu haswa zile ambazo napenda sana nyota lakini filamu hii ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,0,ninachukia kuandika hakiki mbaya ju ya filamu haswa zile ambazo napenda sana nyota lakini filamu hi ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,0
140,mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hii,0,mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hi,0
141,kwa kifupi hii ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote kuona filamu hii,0,kwa kifupi hi ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote kuona filamu hi,0
142,ilikuja bure na kicheza dvd nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa howell,0,ilikuja bure na kicheza dvd nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa howel,0
143, na kwa sababu tu hakuna mpangilio wa ,0,na kwa sababu tu hakuna mpangilio wa,0
144,lo filamu mbaya namna gani,0,lo filamu mbaya namna gani,0
145,sio ya kutisha angalau na haieleweka wazi,0,sio ya kutisha angalau na haieleweka wazi,0
146,haifai hata kwa thamani ya kambi,0,haifai hata kwa thamani ya kambi,0
147,sikutarajia vifaa vya oscar lakini hii,0,sikutarajia vifa vya oscar lakini hi,0
148,filamu hii na mimi hutumia neno hilo kwa upole ni tusi kwa umma unaokwenda sinema,0,filamu hi na mimi hutumia neno hilo kwa upole ni tusi kwa uma unaokwenda sinema,0
149,ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi,0,ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi,0
150,hii inapata  kati ya  kwa sababu tu hakuna kitu cha chini,0,hi inapata kati ya kwa sababu tu hakuna kitu cha chini,0
151,hii ni moja ambayo sikuwa nayo lakini niliitazama hivi majuzi kwenye channel ya sinema ya fox na nilisikitishwa sana,0,hi ni moja ambayo sikuwa nayo lakini nilitazama hivi majuzi kwenye chanel ya sinema ya fox na nilisikitishwa sana,0
152,victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,0,victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,0
153,kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,0,kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,0
154,hata squibs anaonekana mbaya,0,hata squibs anaonekana mbaya,0
155,mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,0,mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,0
156,kwa kweli kaimu ni blah,0,kwa kweli kaimu ni blah,0
157,na mwishowe baada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jerry falwell,0,na mwishowe bada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jery falwel,0
158,ni aina tu ya pap ambayo inapetiwa alasiri ili kuwaadhibu wasio na kazi kwa kukosa kazi,0,ni aina tu ya pap ambayo inapetiwa alasiri ili kuwadhibu wasio na kazi kwa kukosa kazi,0
159,karibu kama dakika kumi kwenye filamu hii nilianza kuwa na mawazo ya pili,0,karibu kama dakika kumi kwenye filamu hi nilianza kuwa na mawazo ya pili,0
160,karibu nusu ya njia ya filamu hii nilianza kuichukia,0,karibu nusu ya njia ya filamu hi nilianza kuichukia,0
161,kufikia wakati filamu ilipoisha sikuichukia tu niliidharau pia,0,kufikia wakati filamu ilipoisha sikuichukia tu nilidharau pia,0
162,ukadiriaji  daraja z kumbuka maonyesho ni mbaya kwamba hata mama wa mwigizaji akatoa binti yake kati ya show,0,ukadiriaji daraja z kumbuka maonyesho ni mbaya kwamba hata mama wa mwigizaji akatoa binti yake kati ya show,0
163,kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,0,kuangalia mashine ya kuosha ikizunguka haitakumiza macho yako kama vile onyesho hili,0
164,neno la mwisho show hii ni mateso kwa kweli,0,neno la mwisho show hi ni mateso kwa kweli,0
165,kila kitu juu yake ni mbaya tu,0,kila kitu ju yake ni mbaya tu,0
166,hii labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote,0,hi labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote,0
167,kile filamu hii inakosa ni maandishi ya kushawishi,0,kile filamu hi inakosa ni mandishi ya kushawishi,0
168,karne ya  ya foxs road house  sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,0,karne ya ya foxs road house sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,0
169,imejaa wahusika wa kadi isiyo na kifahari iliyoandikwa wazi na edward chodorov ambaye pia alitengeneza na kwa kushangaza anaelekezwa na jean negulesco ambaye mtu angetegemea mpango mkubwa zaidi,0,imeja wahusika wa kadi isiyo na kifahari iliyoandikwa wazi na edward chodorov ambaye pia alitengeneza na kwa kushangaza anaelekezwa na jean negulesco ambaye mtu angetegemea mpango mkubwa zaidi,0
170,kuanzia hapa mhusika wa widmark anageuka mchesi bila kukusudia,0,kuanzia hapa mhusika wa widmark anageuka mchesi bila kukusudia,0
171,kuna shida nyingi sijui nianzie wapi,0,kuna shida nyingi sijui nianzie wapi,0
172,lakini sinema hiyo inafanya makosa mengi sana,0,lakini sinema hiyo inafanya makosa mengi sana,0
173,chochote kilichochochea maandishi haya ni zaidi yangu,0,chochote kilichochochea mandishi haya ni zaidi yangu,0
174,kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,0,kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,0
175,kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,0,kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,0
176,tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,0,tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,0
177,singependa kuona hii sinema tena hata bure,0,singependa kuona hi sinema tena hata bure,0
178,mbaya sana mmmh ni mbaya tu,0,mbaya sana mh ni mbaya tu,0
179,hii inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza,0,hi inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza,0
180,sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hii,0,sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hi,0
181,nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje,0,nimesikitishwa sana kuwa filamu hi itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofa zaidi za filamu huko nje,0
182,sinema hii ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,0,sinema hi ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,0
183,ni aibu kuona watendaji wazuri kama thomerson na james wanaishi kwa fujo kama hii,0,ni aibu kuona watendaji wazuri kama thomerson na james wanaishi kwa fujo kama hi,0
